No. of Layers,No. of Hidden Nodes,Dropout Rate,Optimizer,Accuracy
2,64,0,SGD,51.58
2,64,0,ADAM,47.86
2,64,0,RMSProp,30.77
2,64,0.2,SGD,49.92
2,64,0.2,ADAM,23.93
2,64,0.2,RMSProp,10
2,64,0.4,SGD,47.42
2,64,0.4,ADAM,10
2,64,0.4,RMSProp,10
2,64,0.6,SGD,36.93
2,64,0.6,ADAM,10
2,64,0.6,RMSProp,10
2,256,0,SGD,52.92
2,256,0,ADAM,45.96
2,256,0,RMSProp,19.43
2,256,0.2,SGD,53.3
2,256,0.2,ADAM,40.44
2,256,0.2,RMSProp,9.92
2,256,0.4,SGD,48.86
2,256,0.4,ADAM,11.64
2,256,0.4,RMSProp,10
2,256,0.6,SGD,41.36
2,256,0.6,ADAM,10
2,256,0.6,RMSProp,10
2,512,0,SGD,53.58
2,512,0,ADAM,46.38
2,512,0,RMSProp,19.62
2,512,0.2,SGD,51.46
2,512,0.2,ADAM,40.8
2,512,0.2,RMSProp,10.01
2,512,0.4,SGD,49.77
2,512,0.4,ADAM,21.96
2,512,0.4,RMSProp,10
2,512,0.6,SGD,42.69
2,512,0.6,ADAM,17.17
2,512,0.6,RMSProp,10
3,64,0,SGD,50.65
3,64,0,ADAM,48.51
3,64,0,RMSProp,27.77
3,64,0.2,SGD,49.62
3,64,0.2,ADAM,27.86
3,64,0.2,RMSProp,10.04
3,64,0.4,SGD,43.41
3,64,0.4,ADAM,17.32
3,64,0.4,RMSProp,10
3,64,0.6,SGD,24.12
3,64,0.6,ADAM,10
3,64,0.6,RMSProp,10
3,256,0,SGD,53.12
3,256,0,ADAM,42.31
3,256,0,RMSProp,26.78
3,256,0.2,SGD,52.76
3,256,0.2,ADAM,24.01
3,256,0.2,RMSProp,10
3,256,0.4,SGD,47.88
3,256,0.4,ADAM,13.24
3,256,0.4,RMSProp,10
3,256,0.6,SGD,35.99
3,256,0.6,ADAM,10
3,256,0.6,RMSProp,10
3,512,0,SGD,52.85
3,512,0,ADAM,39.91
3,512,0,RMSProp,10
3,512,0.2,SGD,52.53
3,512,0.2,ADAM,39.5
3,512,0.2,RMSProp,10
3,512,0.4,SGD,48.6
3,512,0.4,ADAM,21.4
3,512,0.4,RMSProp,10
3,512,0.6,SGD,34.77
3,512,0.6,ADAM,13.82
3,512,0.6,RMSProp,10
4,64,0,SGD,51.79
4,64,0,ADAM,48.72
4,64,0,RMSProp,29.6
4,64,0.2,SGD,48.92
4,64,0.2,ADAM,21
4,64,0.2,RMSProp,10
4,64,0.4,SGD,36.17
4,64,0.4,ADAM,10
4,64,0.4,RMSProp,10
4,64,0.6,SGD,10.8
4,64,0.6,ADAM,10
4,64,0.6,RMSProp,10
4,256,0,SGD,52.43
4,256,0,ADAM,42.22
4,256,0,RMSProp,10
4,256,0.2,SGD,52.33
4,256,0.2,ADAM,34.16
4,256,0.2,RMSProp,17.09
4,256,0.4,SGD,45.15
4,256,0.4,ADAM,10
4,256,0.4,RMSProp,10
4,256,0.6,SGD,17.02
4,256,0.6,ADAM,10
4,256,0.6,RMSProp,10
4,512,0,SGD,52.08
4,512,0,ADAM,39.74
4,512,0,RMSProp,19.23
4,512,0.2,SGD,52.5
4,512,0.2,ADAM,39.47
4,512,0.2,RMSProp,10
4,512,0.4,SGD,45.08
4,512,0.4,ADAM,13.05
4,512,0.4,RMSProp,10
4,512,0.6,SGD,20.21
4,512,0.6,ADAM,10
4,512,0.6,RMSProp,10
5,64,0,SGD,50.05
5,64,0,ADAM,47.26
5,64,0,RMSProp,35.16
5,64,0.2,SGD,48.58
5,64,0.2,ADAM,25.86
5,64,0.2,RMSProp,10
5,64,0.4,SGD,27.35
5,64,0.4,ADAM,10
5,64,0.4,RMSProp,10
5,64,0.6,SGD,10.31
5,64,0.6,ADAM,10
5,64,0.6,RMSProp,10
5,256,0,SGD,52.96
5,256,0,ADAM,40.74
5,256,0,RMSProp,26.01
5,256,0.2,SGD,51.43
5,256,0.2,ADAM,32.05
5,256,0.2,RMSProp,10
5,256,0.4,SGD,36.28
5,256,0.4,ADAM,10
5,256,0.4,RMSProp,10
5,256,0.6,SGD,11.92
5,256,0.6,ADAM,10
5,256,0.6,RMSProp,10
5,512,0,SGD,52.24
5,512,0,ADAM,35.23
5,512,0,RMSProp,19.8
5,512,0.2,SGD,52.4
5,512,0.2,ADAM,10
5,512,0.2,RMSProp,10
5,512,0.4,SGD,43.09
5,512,0.4,ADAM,22.4
5,512,0.4,RMSProp,10
5,512,0.6,SGD,13.77
5,512,0.6,ADAM,10
5,512,0.6,RMSProp,10
